model,avg_cost,avg_score
gpt-5,0.04254848645833334,0.8875
qwen3-235b-a22b-thinking-2507,0.014699289166666666,0.8458333333333332
deepseek-r1-0528,0.021899300833333333,0.8416666666666666
gemini-2.5-pro,0.1084043125,0.8291666666666666
gpt-5-chat,0.00470364921875,0.7416666666666667
kimi-k2-0905,0.004329058375,0.7374999999999999
glm-4.6,0.019497075416666666,0.7374999999999999
qwen3-235b-a22b-2507,0.0017558165416666667,0.7291666666666666
gemini-2.5-flash,0.015801994583333333,0.7
Qwen3-8B,0.0013386728250000001,0.6708333333333333
DeepSeek-R1-0528-Qwen3-8B,0.0013341783333333333,0.6583333333333333
deepseek-v3-0324,0.001310726375,0.6416666666666666
intern-s1,0.0051004215,0.6291666666666667
claude-sonnet-4,0.015042725,0.6208333333333333
MiniCPM4.1-8B,0.0,0.6166666666666667
NVIDIA-Nemotron-Nano-9B-v2,0.0017455542500000002,0.6041666666666666
GLM-Z1-9B-0414,0.0,0.5666666666666667
Intern-S1-mini,0.0026164417791666667,0.4708333333333333
DeepSeek-R1-Distill-Qwen-7B,0.0013335170833333333,0.38749999999999996
Llama-3.1-Nemotron-Nano-8B-v1,9.998297916666667e-05,0.375
OpenThinker3-7B,0.0,0.3458333333333333
Qwen2.5-Coder-7B-Instruct,0.0,0.24583333333333335
internlm3-8b-instruct,0.0,0.23333333333333334
gemma-2-9b-it,1.8707866666666668e-05,0.22916666666666669
cogito-v1-preview-llama-8B,0.0,0.21666666666666665
granite-3.3-8b-instruct,0.0,0.21250000000000002
Llama-3.1-8B-Instruct,4.367452083333333e-05,0.20833333333333334
Fin-R1,0.0003034219166666666,0.20833333333333334
glm-4-9b-chat,0.0,0.16666666666666669
Llama-3.1-8B-UltraMedical,2.2925833333333333e-05,0.15833333333333333
DeepHermes-3-Llama-3-8B-Preview,0.0002662747916666667,0.1416666666666667
MiMo-7B-RL-0530,0.0,0.020833333333333336
