alpha,policy_name,avg_cost,avg_score,objective_value,details
0.01,Oracle Routing,0.0001625061625,0.9583333333333333,-0.009420827170833333,
0.01,Single Best,0.0,0.6166666666666657,-0.006166666666666657,model=MiniCPM4.1-8B
0.01,Single Best per Benchmark,0.0006647479583333333,0.75,-0.006835252041666667,AIME:MiniCPM4.1-8B; GPQA:deepseek-v3.1-terminus; LCB:deepseek-v3.1-terminus; MMLU-Pro:qwen3-235b-a22b-2507
0.01,Pool-Constrained Routing,0.0004145933333333333,0.8083333333333333,-0.007668739999999999,pool_size=2; shortfall=0.0000
0.01,Robust Pool-Constrained Routing,0.0014811087958333333,0.8374999999999999,0.013691263564583335,pool_size=2; wc=0.0137; gap=0.0006
0.05,Oracle Routing,0.0005951153291666666,0.9708333333333332,-0.0479465513375,
0.05,Single Best,0.0017558165416666667,0.7291666666666653,-0.034702516791666596,model=qwen3-235b-a22b-2507
0.05,Single Best per Benchmark,0.0017334819458333336,0.8166666666666667,-0.0390998513875,AIME:Qwen3-8B; GPQA:deepseek-v3.1-terminus; LCB:Qwen3-8B; MMLU-Pro:intern-s1
0.05,Pool-Constrained Routing,0.0016037479208333334,0.8458333333333332,-0.04068791874583333,pool_size=2; shortfall=0.0000
0.05,Robust Pool-Constrained Routing,0.0016037479208333334,0.8458333333333332,-0.01953908353958333,pool_size=2; wc=-0.0195; gap=0.0011
0.1,Oracle Routing,0.0012217678291666667,0.9791666666666665,-0.09669489883749999,
0.1,Single Best,0.0017558165416666667,0.7291666666666653,-0.07116085012499987,model=qwen3-235b-a22b-2507
0.1,Single Best per Benchmark,0.0017334819458333336,0.8166666666666667,-0.07993318472083333,AIME:Qwen3-8B; GPQA:deepseek-v3.1-terminus; LCB:Qwen3-8B; MMLU-Pro:intern-s1
0.1,Pool-Constrained Routing,0.0058216069999999995,0.9041666666666666,-0.08459505966666667,pool_size=2; shortfall=0.0000
0.1,Robust Pool-Constrained Routing,0.0048860085000000004,0.8916666666666666,-0.06323249383333332,pool_size=2; wc=-0.0632; gap=0.0010
0.2,Oracle Routing,0.0016813553291666666,0.9833333333333332,-0.1949853113375,
0.2,Single Best,0.014699289166666673,0.8458333333333315,-0.15446737749999964,model=qwen3-235b-a22b-thinking-2507
0.2,Single Best per Benchmark,0.0064737104,0.8458333333333333,-0.1626929562666667,AIME:qwen3-235b-a22b-thinking-2507; GPQA:kimi-k2-0905; LCB:Qwen3-8B; MMLU-Pro:intern-s1
0.2,Pool-Constrained Routing,0.0058216069999999995,0.9041666666666666,-0.1750117263333333,pool_size=2; shortfall=0.0000
0.2,Robust Pool-Constrained Routing,0.0058216069999999995,0.9041666666666666,-0.15147573566666667,pool_size=2; wc=-0.1515; gap=0.0035
0.5,Oracle Routing,0.0016813553291666666,0.9833333333333332,-0.4899853113374999,
0.5,Single Best,0.014699289166666673,0.8458333333333315,-0.4082173774999991,model=qwen3-235b-a22b-thinking-2507
0.5,Single Best per Benchmark,0.020189298374999998,0.8791666666666667,-0.41939403495833333,AIME:qwen3-235b-a22b-thinking-2507; GPQA:gpt-5; LCB:qwen3-235b-a22b-thinking-2507; MMLU-Pro:intern-s1
0.5,Pool-Constrained Routing,0.012479706,0.9583333333333333,-0.46668696066666665,pool_size=3; shortfall=0.0000
0.5,Robust Pool-Constrained Routing,0.011234487958333334,0.9541666666666666,-0.42888736427083335,pool_size=3; wc=-0.4289; gap=0.0070
1.0,Oracle Routing,0.0016813553291666666,0.9833333333333332,-0.9816519780041665,
1.0,Single Best,0.042548486458333375,0.8874999999999981,-0.8449515135416646,model=gpt-5
1.0,Single Best per Benchmark,0.02349654083333333,0.8833333333333333,-0.8598367925,AIME:qwen3-235b-a22b-thinking-2507; GPQA:gpt-5; LCB:qwen3-235b-a22b-thinking-2507; MMLU-Pro:gpt-5
1.0,Pool-Constrained Routing,0.007737558666666667,0.9791666666666665,-0.9714291079999998,pool_size=5; shortfall=0.0000
1.0,Robust Pool-Constrained Routing,0.007623195833333332,0.9708333333333332,-0.9073234908340075,pool_size=5; wc=-0.9073; gap=0.0059
2.0,Oracle Routing,0.0016813553291666666,0.9833333333333332,-1.9649853113374998,
2.0,Single Best,0.042548486458333375,0.8874999999999981,-1.7324515135416627,model=gpt-5
2.0,Single Best per Benchmark,0.02349654083333333,0.8833333333333333,-1.7431701258333332,AIME:qwen3-235b-a22b-thinking-2507; GPQA:gpt-5; LCB:qwen3-235b-a22b-thinking-2507; MMLU-Pro:gpt-5
2.0,Pool-Constrained Routing,0.00773749575,0.9791666666666665,-1.950595837583333,pool_size=5; shortfall=0.0000
2.0,Robust Pool-Constrained Routing,0.007413151791666667,0.9833333333333332,-1.878678512854166,pool_size=6; wc=-1.8787; gap=0.0233
5.0,Oracle Routing,0.0016813553291666666,0.9833333333333332,-4.9149853113374995,
5.0,Single Best,0.042548486458333375,0.8874999999999981,-4.394951513541657,model=gpt-5
5.0,Single Best per Benchmark,0.037822651458333335,0.8875,-4.399677348541666,AIME:gpt-5; GPQA:gpt-5; LCB:qwen3-235b-a22b-thinking-2507; MMLU-Pro:gpt-5
5.0,Pool-Constrained Routing,0.007413589541666666,0.9833333333333332,-4.909253077124999,pool_size=6; shortfall=0.0000
5.0,Robust Pool-Constrained Routing,0.007413151791666667,0.9833333333333332,-4.803678512854167,pool_size=6; wc=-4.8037; gap=0.0483
10.0,Oracle Routing,0.0016813553291666666,0.9833333333333332,-9.831651978004166,
10.0,Single Best,0.042548486458333375,0.8874999999999981,-8.832451513541647,model=gpt-5
10.0,Single Best per Benchmark,0.037822651458333335,0.8875,-8.837177348541667,AIME:gpt-5; GPQA:gpt-5; LCB:qwen3-235b-a22b-thinking-2507; MMLU-Pro:gpt-5
10.0,Pool-Constrained Routing,0.007413589541666666,0.9833333333333332,-9.825919743791665,pool_size=6; shortfall=0.0000
10.0,Robust Pool-Constrained Routing,0.007413151791666667,0.9833333333333332,-9.678678512854166,pool_size=6; wc=-9.6787; gap=0.0900
